"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","中華人民共和國"
"改革開放親歷者口述","人民網","中華人民共和國（1978–）","口述歷史","人民網","CN-ST-PRC-44","https://www.people.com.cn/","zh","文字;影音","改革開放歷程親歷者之口述訪談專題，涵蓋特區建設者、鄉鎮企業家、留學生與下海者之見證，人民網製作系列訪談節目並整理文字稿，為共和國轉型史之生動口述史料","改革開放;口述史;親歷者;特區;企業家","中華人民共和國（1949–迄今）","全中國","–","深圳經濟特區檔案;改革開放四十年影像","人民網","人民網","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","改革開放見證訪談","中華人民共和國"
"浦東開發開放口述史","上海市地方誌辦公室","中華人民共和國（1990–）","口述歷史","上海市地方誌辦公室","CN-ST-PRC-45","–","zh","文字;影音","上海浦東開發開放三十年之親歷者口述訪談，涵蓋規劃者、金融從業者與建設者之見證，上海市地方誌辦公室與相關機構整理出版，為共和國區域開發史之重要口述史料","浦東;上海;開發開放;口述史;金融中心","中華人民共和國（1949–迄今）","上海","–","深圳經濟特區檔案;改革開放親歷者口述","上海市地方誌辦公室","上海市地方誌辦公室","2026-07-31","UNCLEAR","訪談資料需申請使用","已收錄 metadata","浦東開發親歷訪談","中華人民共和國"
"中國人民銀行金融史料","中國人民銀行","中華人民共和國（1948–迄今）","產業與經濟實錄","中國人民銀行","CN-ST-PRC-46","https://www.pbc.gov.cn/","zh","文字","中國人民銀行自1948年成立起之金融史料與貨幣發行紀錄，涵蓋人民幣制度、計畫經濟時期之金融管理與改革開放以來之央行體系，人民銀行網站提供歷史資料，為共和國金融史之核心史料","中國人民銀行;央行;貨幣;金融史;人民幣","中華人民共和國（1949–迄今）","北京、全中國","–","法幣改革與中央銀行檔案;中國銀行行史","中國人民銀行","中國人民銀行","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","共和國金融史核心史料","中華人民共和國"
"大慶油田開發史料","中國石油天然氣集團有限公司","中華人民共和國（1959–）","產業與經濟實錄","中國石油天然氣集團有限公司","CN-ST-PRC-47","https://www.cnpc.com.cn/","zh","文字;圖檔","1959年大慶油田發現與開發之史料，含「鐵人」王進喜與石油會戰之檔案與報導，為共和國工業化與「石油工業學大慶」之象徵，中國石油集團整理油田開發史料","大慶油田;石油;王進喜;工業化;石油會戰","中華人民共和國（1949–迄今）","黑龍江大慶","–","一五計畫與社會主義改造檔案;中國工業與國民經濟統計","中國石油天然氣集團有限公司","中國石油天然氣集團有限公司","2026-07-31","UNCLEAR","館藏史料，需申請調閱","已收錄 metadata","共和國工業化象徵","中華人民共和國"
"三峽工程檔案","中國長江三峽集團有限公司","中華人民共和國（1994–2020）","產業與經濟實錄","中國長江三峽集團有限公司","CN-ST-PRC-48","https://www.ctg.com.cn/","zh","文字;圖檔","長江三峽工程之論證、建設與移民安置檔案，1994年開工、2020年全面竣工，為世界最大水利樞紐工程，三峽集團與長江水利委員會整理工程史料，涵蓋建設、發電與生態爭議","三峽工程;水利;發電;移民;長江","中華人民共和國（1949–迄今）","湖北宜昌、重慶","–","1998年特大洪水檔案;中國能源統計年鑑","中國長江三峽集團有限公司","中國長江三峽集團有限公司","2026-07-31","UNCLEAR","館藏史料，需申請調閱","已收錄 metadata","世界最大水利樞紐工程史料","中華人民共和國"
"中國高速鐵路建設史料","中國國家鐵路集團有限公司","中華人民共和國（2008–）","產業與經濟實錄","中國國家鐵路集團有限公司","CN-ST-PRC-49","https://www.china-railway.com.cn/","zh","文字;圖檔","2008年京津城際鐵路通車以來中國高速鐵路建設與營運史料，涵蓋路網規劃、技術引進與自主創新歷程，中國國家鐵路集團公布營運數據與建設資料，為共和國交通現代化之重要紀錄","高鐵;高速鐵路;鐵路;交通建設;鐵路網","中華人民共和國（1949–迄今）","全中國","–","民國鐵道部與國有鐵路統計;中國統計年鑑","中國國家鐵路集團有限公司","中國國家鐵路集團有限公司","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","高鐵時代交通史料","中華人民共和國"
"深圳經濟特區檔案","深圳市人民政府","中華人民共和國（1980–）","產業與經濟實錄","深圳市檔案館","CN-ST-PRC-50","https://www.szdag.gov.cn/","zh","文字;圖檔","1980年深圳經濟特區建立以來之決策與發展檔案，涵蓋特區條例、招商引資、城市規劃與改革試驗，深圳市檔案館典藏並提供開放查詢，為共和國改革開放史之關鍵地方檔案","深圳;經濟特區;改革開放;特區檔案;城市化","中華人民共和國（1949–迄今）","廣東深圳","–","十一屆三中全會與改革開放文件;浦東開發開放口述史","深圳市人民政府","深圳市檔案館","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","改革開放窗口城市檔案","中華人民共和國"
"中國商飛C919研製史料","中國商用飛機有限責任公司","中華人民共和國（2008–）","產業與經濟實錄","中國商用飛機有限責任公司","CN-ST-PRC-51","https://www.comac.cc/","zh","文字;圖檔","中國商飛公司研製C919大型客機之史料，2008年成立公司、2023年商業首航，涵蓋自主研製、適航取證與產業鏈建設，公司官網發布研製進展與資料，為共和國高端製造之代表","C919;大飛機;中國商飛;航空工業;自主研製","中華人民共和國（1949–迄今）","上海、全中國","–","中國科學院科技發展史料;改革開放四十年影像","中國商用飛機有限責任公司","中國商用飛機有限責任公司","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","大飛機研製代表史料","中華人民共和國"
"掃盲運動史料","中華人民共和國教育部","中華人民共和國（1950–1990）","教育與醫療史","中國國家圖書館","CN-ST-PRC-52","https://www.nlc.cn/","zh","文字;圖檔","建國初期至八〇年代之掃盲運動檔案與教材，涵蓋冬學運動、掃盲識字班與工農速成教育，中國國家圖書館整理掃盲專題文獻，為共和國教育史與國民素質提升之重要史料","掃盲;識字;教育;冬學;工農教育","中華人民共和國（1949–迄今）","全中國","–","恢復高考檔案;中國新方志","中華人民共和國教育部","中國國家圖書館","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","掃盲運動教育史料","中華人民共和國"
"恢復高考（1977）檔案","中華人民共和國教育部","中華人民共和國（1977）","教育與醫療史","中華人民共和國教育部","CN-ST-PRC-53","https://www.moe.gov.cn/","zh","文字","1977年恢復高等學校招生考試之文件與親歷紀錄，為文革後教育制度之轉折點，教育部整理恢復高考史料，涵蓋招生改革與人才選拔，為共和國教育史之關鍵事件","恢復高考;1977;高考;招生;教育制度","中華人民共和國（1949–迄今）","全中國","–","掃盲運動史料;光明日報","中華人民共和國教育部","中華人民共和國教育部","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","高考制度恢復之轉折","中華人民共和國"
"北京協和醫學院（1949年以來）","北京協和醫學院","中華人民共和國（1949–迄今）","教育與醫療史","北京協和醫學院","CN-ST-PRC-54","https://www.pumc.edu.cn/","zh","文字","北京協和醫學院1949年後之辦學與醫學研究史料，涵蓋院校調整、臨床醫學與公共衛生發展，協和官網提供校史資料，為共和國現代醫學教育史之代表機構史料","協和醫學院;醫學教育;公衛;醫療;院校調整","中華人民共和國（1949–迄今）","北京","–","北京協和醫學院民國時期史料;SARS防治檔案","北京協和醫學院","北京協和醫學院","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","現代醫學教育代表機構","中華人民共和國"
"SARS防治檔案（2003）","國家衛生健康委員會","中華人民共和國（2003）","教育與醫療史","國家衛生健康委員會","CN-ST-PRC-55","https://www.nhc.gov.cn/","zh","文字","2003年SARS疫情之防治政策文件與公衛應對紀錄，涵蓋疫情發布、隔離措施與醫療體系動員，國家衛生健康委員會網站保留歷年通報，為共和國公共衛生史之重大事件史料","SARS;非典;疫情;公共衛生;防治","中華人民共和國（1949–迄今）","北京、廣東、全中國","–","新冠疫情公開數據與文件;北京協和醫學院","國家衛生健康委員會","國家衛生健康委員會","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","SARS疫情公衛史料","中華人民共和國"
"新冠疫情公開數據與文件","國家衛生健康委員會","中華人民共和國（2020–2023）","教育與醫療史","國家衛生健康委員會","CN-ST-PRC-56","https://www.nhc.gov.cn/","zh","文字","COVID-19疫情期間國家衛生健康委員會發布之每日疫情通報、診療方案與防控文件，官網完整保留公開紀錄，為共和國當代公共衛生與社會應對之第一手官方史料","COVID-19;新冠疫情;疫情通報;公共衛生;防控","中華人民共和國（1949–迄今）","武漢、全中國","–","SARS防治檔案;國家統計局","國家衛生健康委員會","國家衛生健康委員會","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","當代疫情官方紀錄","中華人民共和國"
"中國科學院科技發展史料","中國科學院","中華人民共和國（1949–迄今）","教育與醫療史","中國科學院","CN-ST-PRC-57","https://www.cas.cn/","zh","文字;圖檔","中國科學院自1949年成立起之科研機構沿革與重大科研成果史料，涵蓋「兩彈一星」、人工合成胰島素、北斗與深海探測等，科學院網站提供歷史資料，為共和國科技史之核心史料","中國科學院;科研;科技史;兩彈一星;院士","中華人民共和國（1949–迄今）","北京、全中國","–","兩彈一星元勳口述史;錢學森文獻與檔案","中國科學院","中國科學院","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","共和國科技發展核心史料","中華人民共和國"
"1954年長江特大洪水檔案","中華人民共和國水利部","中華人民共和國（1954）","自然與環境背景","中華人民共和國水利部","CN-ST-PRC-58","https://www.mwr.gov.cn/","zh","文字","1954年長江中下游特大洪水之災情與治理檔案，促成荊江分洪工程與堤防加固建設，水利部與長江水利委員會整理災害史料，為共和國水患治理史之關鍵紀錄","1954年洪水;長江;水災;分洪;水利","中華人民共和國（1949–迄今）","長江中下游","–","1998年特大洪水檔案;三峽工程檔案","中華人民共和國水利部","中華人民共和國水利部","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","建國初期長江大水史料","中華人民共和國"
"1998年特大洪水檔案","中華人民共和國水利部","中華人民共和國（1998）","自然與環境背景","中華人民共和國水利部","CN-ST-PRC-59","https://www.mwr.gov.cn/","zh","文字","1998年長江、松花江特大洪水之災情與軍民抗洪檔案，涵蓋災害損失統計與後續水利投資政策，水利部公布抗洪與治理資料，為共和國當代災害治理史之重要史料","1998年洪水;長江;抗洪;水災;水利投資","中華人民共和國（1949–迄今）","長江流域、松花江","–","1954年長江特大洪水檔案;三峽工程檔案","中華人民共和國水利部","中華人民共和國水利部","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","當代抗洪治理史料","中華人民共和國"
"汶川地震（2008）檔案","中國地震局","中華人民共和國（2008）","自然與環境背景","中國地震局","CN-ST-PRC-60","https://www.cea.gov.cn/","zh","文字;圖檔","2008年5月12日汶川大地震之震情、救災與重建檔案，中國地震局發布地震參數與災情資料，涵蓋應急救援與災後重建，為共和國防災減災史之重大事件史料","汶川地震;2008;地震;救災;重建","中華人民共和國（1949–迄今）","四川汶川、全中國","–","中國現代氣象記錄;中國統計年鑑","中國地震局","中國地震局","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","八級地震災害史料","中華人民共和國"
"三北防護林工程史料","國家林業和草原局","中華人民共和國（1978–）","自然與環境背景","國家林業和草原局","CN-ST-PRC-61","https://www.forestry.gov.cn/","zh","文字","1978年啟動之三北防護林體系建設工程史料，涵蓋造林面積、荒漠化治理與生態效益統計，國家林業和草原局公布工程進展，為世界最大規模生態工程之官方紀錄","三北防護林;植樹造林;荒漠化;生態工程;林業","中華人民共和國（1949–迄今）","西北、華北、東北","–","中國能源統計年鑑;中國統計年鑑","國家林業和草原局","國家林業和草原局","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","最大規模生態工程史料","中華人民共和國"
"中國現代氣象記錄","中國氣象局","中華人民共和國（1949–迄今）","自然與環境背景","中國氣象局","CN-ST-PRC-62","https://www.cma.gov.cn/","zh","文字","中國氣象局1949年以來之氣象觀測與氣候記錄，含氣候變遷監測、極端天氣與氣象災害資料，氣象局網站提供歷史數據查詢，為共和國氣候與環境變遷之權威紀錄","氣象;氣候變遷;觀測;氣象災害;環境","中華人民共和國（1949–迄今）","全中國","–","中國能源統計年鑑;汶川地震檔案","中國氣象局","中國氣象局","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","共和國氣候權威紀錄","中華人民共和國"
